city,lat,ancestry_num,top_ancestry,lon,code
Pemulwuy,-33.821944,826,Indian,150.923752,13181
Verges Creek,-31.087755,123,Australian,152.89971,14072
Rous,-28.876258,98,Australian,153.389634,13427
Glebe (NSW),-33.880815,3487,English,151.187791,11641
West Coraki,-29.0015,48,English,153.2153,14243
South Albury,-36.097002,516,English,146.915213,13573
Wentworth (NSW),-34.106868,632,Australian,141.919215,14225
Markwell,-32.320298,56,Australian,152.181811,12493
Breakfast Point,-33.841583,962,English,151.107502,10557
Liverpool,-33.918951,2620,Indian,150.923868,12361
Moonbi,-30.951431,517,Australian,151.045963,12699
Sutherland (NSW),-34.031432,3774,English,151.057965,13701
Bungonia,-34.829239,165,English,149.869192,10685
Jennings,-28.927903,79,English,151.927109,12008
Eastern Creek,-33.803114,245,Australian,150.852192,11366
Camden Park (NSW),-34.088673,993,Australian,150.721836,10772
South Bowenfels,-33.60463,531,English,150.120913,13578
Point Frederick,-33.449407,798,English,151.341896,13232
Fairlight,-33.794163,2755,English,151.273978,11482
Gravesend,-29.582339,165,Australian,150.337609,11742
Wanaaring,-29.706274,45,Australian,144.147343,14126
Cathcart (NSW),-36.843699,61,Australian,149.388335,10855
East Coraki,-28.998703,104,Australian,153.310661,11347
Neurea,-32.708193,77,Australian,148.947815,12933
Bankstown,-33.893687,6022,Vietnamese,150.971005,10180
Kentlyn,-34.073171,262,Australian,150.85743,12101
Alstonvale,-28.805607,194,English,153.445477,10045
Bella Vista,-33.737345,1343,Chinese,150.95501,10263
Wollombi,-32.9376,82,English,151.142665,14355
Hyams Beach,-35.101726,45,English,150.681004,11967
Telegraph Point,-31.321632,292,Australian,152.79968,13781
Mystery Bay,-36.299297,89,Australian,150.128542,12883
Yowrie,-36.297586,54,English,149.717828,14520
Bentley (NSW),-28.756611,88,Australian,153.090423,10298
Chippendale,-33.886844,3406,Chinese,151.201715,10907
Garah,-34.763894,130,Australian,150.626431,11586
Dalgety,-36.502267,97,English,148.834562,11190
Rathmines,-33.045785,860,English,151.59415,13319
Eastgardens,-33.946043,179,Australian,151.223301,11367
Tomakin,-35.821767,395,Australian,150.193026,13890
Forest Lodge,-33.881215,1295,English,151.181127,11546
Scone,-32.050707,2611,Australian,150.867527,13503
Ballina,-28.983995,3575,English,153.456889,10162
Tarcutta,-35.27561,199,Australian,147.738748,13763
Carnes Hill,-33.9376,263,Australian,150.8488,10820
Jiggi,-28.680571,162,Australian,153.182012,12026
Adaminaby,-36.029411,135,English,148.701954,10015
Mungay Creek,-30.925992,55,Australian,152.656779,12841
Hassall Grove,-33.733813,1112,Australian,150.834277,11866
North Bondi,-33.8857,2787,English,151.279788,12984
Townsend,-29.465648,458,Australian,153.220203,13928
Granville (NSW),-33.863022,1939,Chinese,151.006224,11738
Numulgi,-28.744012,94,Australian,153.324937,13041
Hilldale,-32.503221,101,Australian,151.65007,11906
Marrar,-34.823698,191,Australian,147.350199,12503
Hobartville (NSW),-33.601557,1198,English,150.735673,11917
Hillsborough (Lake Macquarie - NSW),-32.962,311,Australian,151.6742,11909
Warrell Creek,-30.770271,137,Australian,152.892327,14170
Hallidays Point,-32.069775,233,English,152.488055,11832
Cessnock,-32.865953,6743,Australian,151.191636,10878
Mogendoura,-35.872225,99,English,150.058818,12657
Nerong,-32.523533,51,Australian,152.198243,12929
Bourke,-30.088847,1018,Australian,145.937742,10522
Williamtown,-32.806831,355,English,151.844224,14299
Joadja,-34.421009,44,English,150.220396,12035
Fairy Hill,-28.762953,197,Australian,152.986613,11483
Geurie,-32.399032,349,Australian,148.828532,11608
Queens Park (NSW),-33.903188,1124,English,151.247205,13294
Kotara,-32.934986,1755,Australian,151.707216,12200
Lansvale,-33.89733,779,Vietnamese,150.952786,12275
South Littleton,-33.498267,131,Australian,150.13517,13590
Exeter (NSW),-34.613161,453,English,150.317392,11475
Coolongolook,-32.21868,188,Australian,152.321932,11032
Tweed Heads South,-28.198486,3318,English,153.543747,13985
Oallen,-35.140146,56,English,149.959164,13062
Glenorie,-33.620011,1226,English,151.023035,11673
Glendon,-32.586672,59,Australian,151.279715,11660
Liston,-28.647747,63,English,152.086292,12346
Sadleir,-33.920629,684,Australian,150.890212,13461
Talbingo,-35.581624,98,English,148.303311,13730
Stockinbingal,-34.506023,193,English,147.879961,13660
Colo Heights,-33.368491,138,English,150.72214,10984
Tuckombil,-28.820674,124,English,153.463089,13947
Monteagle,-34.193245,111,Australian,148.342278,12683
Forresters Beach,-33.407108,1331,English,151.463884,11549
Wiangaree,-28.505758,83,Australian,152.967547,14283
Mangrove Mountain,-33.300847,254,Australian,151.191661,12472
Clovelly,-33.911604,1878,English,151.254892,10938
Doyalson North,-33.185292,200,English,151.546219,11287
Stony Chute,-28.576926,68,English,153.155256,13667
Karabar,-35.362899,3243,Australian,149.216388,12071
Tamworth,-32.560224,74,Australian,151.144183,13746
Lovett Bay,-33.637405,50,English,151.278429,12397
Rouse Hill,-33.682068,2430,English,150.915397,13429
Broughton Vale,-34.757278,72,English,150.708686,10606
Tharbogang,-34.255222,183,Italian,145.988692,13811
Splitters Creek,-36.063828,124,English,146.844998,13610
Taralga,-34.405567,218,Australian,149.818683,13759
Allworth,-32.541688,84,Australian,151.960927,10041
Lake Cargelligo,-33.298908,737,Australian,146.370322,12242
Rosemeadow,-34.101795,2624,Australian,150.800106,13410
Raglan (NSW),-33.422275,624,Australian,149.649389,13304
O'Connell (NSW),-33.536286,268,English,149.723143,13052
Gundagai,-35.077496,861,Australian,148.100558,11803
