city,lat,code,lon,people
New Buildings,-36.947707,12940,149.574758,37
Deauville,-31.663601,11225,152.794247,25
Neilrex,-31.720632,12919,149.307062,72
Blacktown,-33.770162,10397,150.905148,47176
Verges Creek,-31.087755,14072,152.89971,233
South Bathurst,-33.440113,13577,149.578565,1583
Rob Roy,-29.739631,13373,151.007813,64
Rous,-28.876258,13427,153.389634,227
Glebe (NSW),-33.880815,11641,151.187791,11532
West Coraki,-29.0015,14243,153.2153,122
Devils Hole,-36.873821,11246,149.652802,17
Elanora Heights,-33.695015,11389,151.280156,4357
Wentworth (NSW),-34.106868,14225,141.919215,1437
Taminda,-31.099235,13745,150.900252,53
Markwell,-32.320298,12493,152.181811,116
State Mine Gully,-33.456482,13655,150.172201,21
Breakfast Point,-33.841583,10557,151.107502,4188
Wattle Springs,-31.452532,14195,149.277759,73
Liverpool,-33.9259,12361,150.6616,27084
Pemulwuy,-33.821944,13181,150.923752,5009
Urangeline East,-35.482878,14054,146.694289,16
Sutherland (NSW),-34.031432,13701,151.057965,10816
Dairy Arm,-33.0492,11186,151.1852,24
Bungonia,-34.829239,10685,149.869192,367
Mooneba,-31.043338,12701,152.69207,81
Eastern Creek,-33.803114,11366,150.852192,827
Camden Park (NSW),-34.088673,10772,150.721836,2238
South Bowenfels,-33.60463,13578,150.120913,1162
Point Frederick,-33.449407,13232,151.341896,1927
Rangers Valley,-29.529787,13314,151.761712,24
Razorback,-33.033803,13328,149.81923,1082
O'Connell (NSW),-33.536286,13052,149.723143,569
Gundagai,-35.077496,11803,148.100558,1676
Broughton (NSW),-34.761853,10605,150.735343,87
Wanaaring,-29.706274,14126,144.147343,140
Howes Valley,-32.844284,11948,150.835756,124
Sunny Corner,-33.381925,13692,149.885191,92
Copeton,-29.913309,11059,150.938151,46
East Coraki,-28.998703,11347,153.310661,205
Jones Bridge,-35.373313,12039,148.256564,22
Cangai,-29.508401,10789,152.479215,36
Neurea,-32.708193,12933,148.947815,130
Bankstown,-33.9291,10180,151.0516,32113
Seal Rocks,-32.435312,13512,152.528898,44
Kentlyn,-34.073171,12101,150.85743,740
Valla,-30.591805,14067,153.008479,936
Blayney,-25.5206,10410,151.3437,3378
Pleasure Point,-33.966909,13229,150.98764,528
Argalong,-35.315496,10077,148.453868,29
Bretti,-31.786844,10562,151.923449,28
Cootralantra,-36.257027,11054,148.879996,89
Telegraph Point,-31.321632,13781,152.79968,609
Rooty Hill,-33.77155,13395,150.843922,14704
Mystery Bay,-36.299297,12883,150.128542,191
Yarrabandai,-33.03106,14469,147.635533,37
Bidgeemia,-35.437209,10339,146.439875,31
Bentley (NSW),-28.756611,10298,153.090423,197
Chippendale,-33.886844,10907,151.201715,8617
Oatley,-33.981428,13064,151.082765,10486
Kia Ora (NSW),-31.960733,12113,151.971566,25
Wallanthery,-33.376979,14108,145.896859,33
Rathmines,-33.045785,13319,151.59415,1905
Eastgardens,-33.946043,11367,151.223301,860
Tomakin,-35.821767,13890,150.193026,1001
Mulgrave (NSW),-33.626053,12815,150.829912,92
Mimosa (NSW),-34.630675,12632,147.360726,84
Rose Bay (NSW),-33.866555,13398,151.280456,10053
The Gap (Wagga Wagga - NSW),-33.486146,13822,150.147653,62
Bowan Park,-33.323962,10527,148.80572,117
Pomeroy,-34.6921,13239,149.5204,115
Scone,-32.050707,13503,150.867527,5624
Ballina,-28.8939,10162,153.4151,8655
Wrathall,-35.365,14427,146.8883,17
Tarcutta,-35.27561,13763,147.738748,446
Brungle,-35.163476,10618,148.316225,112
