city,code,Median weekly household income,lon,All private dwellings,Average people per household,lat,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Pemulwuy,13181,2396,150.923752,1668,3.2,-33.821944,2600,496,1.9
Verges Creek,14072,1275,152.89971,88,2.6,-31.087755,1761,240,2.5
Rous,13427,1600,153.389634,89,2.6,-28.876258,1330,384,2.4
Glebe (NSW),11641,1579,151.187791,5973,2.1,-33.880815,2730,400,0.9
West Coraki,14243,756,153.2153,48,2.4,-29.0015,1733,318,2.3
South Albury,13573,878,146.915213,806,1.9,-36.097002,1300,167,1.2
Wentworth (NSW),14225,792,141.919215,789,2,-34.106868,888,170,1.6
Markwell,12493,1142,152.181811,60,2.1,-32.320298,1609,140,1.9
Breakfast Point,10557,2175,151.107502,2110,2.2,-33.841583,2700,680,1.6
Liverpool,12361,1089,150.923868,10047,2.8,-33.918951,1647,340,1.3
Moonbi,12699,1064,151.045963,457,2.4,-30.951431,1517,200,2.1
Sutherland (NSW),13701,1667,151.057965,5081,2.2,-34.031432,2058,425,1.4
Bungonia,10685,1025,149.869192,282,2.3,-34.829239,1560,220,2.1
Jennings,12008,710,151.927109,85,2.2,-28.927903,542,170,1.8
Eastern Creek,11366,1613,150.852192,278,3.2,-33.803114,1763,380,2
Camden Park (NSW),10772,2776,150.721836,658,3.5,-34.088673,2420,570,2.6
South Bowenfels,13578,1358,150.120913,486,2.6,-33.60463,2000,330,2
Point Frederick,13232,1193,151.341896,1006,2.1,-33.449407,1907,320,1.5
Fairlight,11482,2620,151.273978,2698,2.4,-33.794163,3000,648,1.5
Gravesend,11742,1053,150.337609,146,2.5,-29.582339,1000,0,2.2
Wanaaring,14126,1166,144.147343,88,2.6,-29.706274,300,45,2.1
Cathcart (NSW),10855,1125,149.388335,58,2.6,-36.843699,1500,100,2.3
East Coraki,11347,1140,153.310661,90,2.5,-28.998703,1517,240,2.3
Neurea,12933,1281,148.947815,63,2.7,-32.708193,2000,0,2.8
Bankstown,10180,1120,150.971005,11155,3.1,-33.893687,1733,400,1.5
Kentlyn,12101,2050,150.85743,223,3.4,-34.073171,2500,234,2.5
Alstonvale,10045,1421,153.445477,166,2.7,-28.805607,1950,310,2.4
Bella Vista,10263,2942,150.95501,2321,3.5,-33.737345,2700,710,2.4
Wollombi,14355,792,151.142665,132,1.8,-32.9376,1679,235,1.7
Hyams Beach,11967,1156,150.681004,255,1.7,-35.101726,2669,0,1.5
Telegraph Point,13781,1199,152.79968,250,2.6,-31.321632,1345,310,2.2
Mystery Bay,12883,928,150.128542,142,2,-36.299297,1600,280,1.6
Yowrie,14520,817,149.717828,68,2.1,-36.297586,1300,235,2
Bentley (NSW),10298,985,153.090423,81,2.6,-28.756611,1083,225,2.1
Chippendale,10907,1250,151.201715,4174,2,-33.886844,2167,572,0.5
Garah,11586,1221,150.626431,145,2.4,-34.763894,600,0,2.2
Dalgety,11190,966,148.834562,169,2.3,-36.502267,867,150,2
Rathmines,13319,1287,151.59415,816,2.5,-33.045785,1613,330,2
Eastgardens,11367,1833,151.223301,327,2.8,-33.946043,3000,202,1.5
Tomakin,13890,1018,150.193026,686,2.1,-35.821767,1517,264,1.7
Forest Lodge,11546,2143,151.181127,2336,2.2,-33.881215,2900,600,1
Scone,13503,1318,150.867527,2510,2.4,-32.050707,1800,250,1.7
Ballina,10162,819,153.456889,4591,1.9,-28.983995,1517,295,1.3
Tarcutta,13763,1083,147.738748,220,2.3,-35.27561,867,150,2.6
Carnes Hill,10820,2309,150.8488,614,3.5,-33.9376,2635,560,2.1
Jiggi,12026,1151,153.182012,162,2.5,-28.680571,1517,210,2
Adaminaby,10015,783,148.701954,239,1.9,-36.029411,1000,150,1.8
Mungay Creek,12841,752,152.656779,57,2,-30.925992,1000,260,1.8
Hassall Grove,11866,1718,150.834277,1295,3.5,-33.733813,1950,400,2.1
North Bondi,12984,2544,151.279788,3998,2.6,-33.8857,3126,650,1.4
Townsend,13928,928,153.220203,381,2.5,-29.465648,1400,295,1.7
Granville (NSW),11738,1332,151.006224,5438,3,-33.863022,1733,390,1.4
Numulgi,13041,1649,153.324937,87,2.7,-28.744012,1800,280,2.3
Hilldale,11906,1228,151.65007,79,2.8,-32.503221,2384,300,2.4
Marrar,12503,1476,147.350199,138,2.8,-34.823698,1213,200,2.4
Hobartville (NSW),11917,1411,150.735673,1101,2.6,-33.601557,1890,390,1.8
Hillsborough (Lake Macquarie - NSW),11909,1542,151.6742,244,2.8,-32.962,1863,351,1.9
Warrell Creek,14170,1260,152.892327,111,2.7,-30.770271,1257,175,2.3
Hallidays Point,11832,1210,152.488055,220,2.7,-32.069775,1800,245,2.2
Cessnock,10878,990,151.191636,6219,2.4,-32.865953,1473,280,1.6
Mogendoura,12657,937,150.058818,88,2.4,-35.872225,2167,230,2
Nerong,12929,733,152.198243,91,2,-32.523533,900,245,1.6
Bourke,10522,1311,145.937742,898,2.5,-30.088847,910,150,1.4
Williamtown,14299,766,151.844224,332,2,-32.806831,2080,243,1.9
Joadja,12035,2100,150.220396,77,2.9,-34.421009,2084,175,2.7
Fairy Hill,11483,1118,152.986613,156,2.6,-28.762953,1559,258,2.2
Geurie,11608,1218,148.828532,313,2.5,-32.399032,1300,250,2.1
Queens Park (NSW),13294,2829,151.247205,1279,2.6,-33.903188,3000,660,1.4
Kotara,12200,1638,151.707216,1592,2.6,-32.934986,1894,380,1.8
Lansvale,12275,1330,150.952786,829,3.2,-33.89733,1733,350,2
South Littleton,13590,1050,150.13517,144,2.4,-33.498267,1733,220,1.7
