city,code,Families,for all families,lon,for families with children,Average children per family,lat
Pemulwuy,13181,1375,1.1,150.923752,1.8,None,-33.821944
Verges Creek,14072,65,0.7,152.89971,1.9,None,-31.087755
Rous,13427,61,0.8,153.389634,1.9,None,-28.876258
Glebe (NSW),11641,2393,0.3,151.187791,1.6,None,-33.880815
West Coraki,14243,35,0.4,153.2153,1.2,None,-29.0015
South Albury,13573,286,0.4,146.915213,1.7,None,-36.097002
Wentworth (NSW),14225,364,0.4,141.919215,1.7,None,-34.106868
Markwell,12493,38,0.4,152.181811,1.5,None,-32.320298
Breakfast Point,10557,1320,0.5,151.107502,1.5,None,-33.841583
Liverpool,12361,6480,0.9,150.923868,1.8,None,-33.918951
Moonbi,12699,295,0.7,151.045963,1.9,None,-30.951431
Sutherland (NSW),13701,2902,0.6,151.057965,1.6,None,-34.031432
Bungonia,10685,106,0.6,149.869192,1.9,None,-34.829239
Jennings,12008,39,0.3,151.927109,1.5,None,-28.927903
Eastern Creek,11366,203,1.1,150.852192,2.2,None,-33.803114
Camden Park (NSW),10772,603,1.4,150.721836,2,None,-34.088673
South Bowenfels,13578,306,0.8,150.120913,2,None,-33.60463
Point Frederick,13232,499,0.5,151.341896,1.6,None,-33.449407
Fairlight,11482,1629,0.6,151.273978,1.7,None,-33.794163
Gravesend,11742,91,0.7,150.337609,2,None,-29.582339
Wanaaring,14126,22,0.8,144.147343,2.3,None,-29.706274
Cathcart (NSW),10855,32,0.7,149.388335,1.7,None,-36.843699
East Coraki,11347,62,0.8,153.310661,1.9,None,-28.998703
Neurea,12933,35,0.7,148.947815,1.9,None,-32.708193
Bankstown,10180,7809,1,150.971005,1.9,None,-33.893687
Kentlyn,12101,183,1.2,150.85743,2.3,None,-34.073171
Alstonvale,10045,132,0.6,153.445477,1.7,None,-28.805607
Bella Vista,10263,2134,1.2,150.95501,1.9,None,-33.737345
Wollombi,14355,49,0.3,151.142665,1.3,None,-32.9376
Hyams Beach,11967,36,0,150.681004,0,None,-35.101726
Telegraph Point,13781,172,0.7,152.79968,1.8,None,-31.321632
Mystery Bay,12883,50,0.2,150.128542,1.4,None,-36.299297
Yowrie,14520,36,0.6,149.717828,1.7,None,-36.297586
Bentley (NSW),10298,64,0.7,153.090423,2,None,-28.756611
Chippendale,10907,1298,0.1,151.201715,1.3,None,-33.886844
Garah,11586,74,0.8,150.626431,2,None,-34.763894
Dalgety,11190,55,0.5,148.834562,1.8,None,-36.502267
Rathmines,13319,564,0.7,151.59415,1.8,None,-33.045785
Eastgardens,11367,219,0.9,151.223301,1.8,None,-33.946043
Tomakin,13890,266,0.5,150.193026,1.7,None,-35.821767
Forest Lodge,11546,1025,0.3,151.181127,1.4,None,-33.881215
Scone,13503,1418,0.7,150.867527,1.9,None,-32.050707
Ballina,10162,2033,0.4,153.456889,1.6,None,-28.983995
Tarcutta,13763,105,0.6,147.738748,1.9,None,-35.27561
Carnes Hill,10820,554,1.3,150.8488,2,None,-33.9376
Jiggi,12026,101,0.8,153.182012,2,None,-28.680571
Adaminaby,10015,85,0.5,148.701954,1.9,None,-36.029411
Mungay Creek,12841,33,0.5,152.656779,1.6,None,-30.925992
Hassall Grove,11866,1151,1.4,150.834277,2.1,None,-33.733813
North Bondi,12984,2175,0.7,151.279788,1.9,None,-33.8857
Townsend,13928,253,0.7,153.220203,1.8,None,-29.465648
Granville (NSW),11738,3704,0.8,151.006224,1.8,None,-33.863022
Numulgi,13041,57,0.5,153.324937,1.6,None,-28.744012
Hilldale,11906,50,0.8,151.65007,2,None,-32.503221
Marrar,12503,104,1,147.350199,2,None,-34.823698
Hobartville (NSW),11917,745,0.9,150.735673,1.9,None,-33.601557
Hillsborough (Lake Macquarie - NSW),11909,188,0.9,151.6742,1.7,None,-32.962
Warrell Creek,14170,72,0.7,152.892327,1.8,None,-30.770271
Hallidays Point,11832,165,0.8,152.488055,1.8,None,-32.069775
Cessnock,10878,3669,0.7,151.191636,1.9,None,-32.865953
Mogendoura,12657,60,0.4,150.058818,1.6,None,-35.872225
Nerong,12929,31,0.1,152.198243,1,None,-32.523533
Bourke,10522,417,0.8,145.937742,2,None,-30.088847
Williamtown,14299,155,0.4,151.844224,1.8,None,-32.806831
