city,code,People,lon,Median age,Female,lat,Male
Pemulwuy,13181,5009,150.923752,33,0.516,-33.821944,0.484
Verges Creek,14072,233,152.89971,48,0.476,-31.087755,0.524
Rous,13427,227,153.389634,46,0.482,-28.876258,0.518
Glebe (NSW),11641,11532,151.187791,36,0.533,-33.880815,0.467
West Coraki,14243,122,153.2153,47,0.405,-29.0015,0.595
South Albury,13573,1379,146.915213,37,0.468,-36.097002,0.532
Wentworth (NSW),14225,1437,141.919215,56,0.497,-34.106868,0.503
Markwell,12493,116,152.181811,53,0.5,-32.320298,0.5
Breakfast Point,10557,4188,151.107502,41,0.535,-33.841583,0.465
Liverpool,12361,27084,150.923868,34,0.503,-33.918951,0.497
Moonbi,12699,1126,151.045963,52,0.53,-30.951431,0.47
Sutherland (NSW),13701,10816,151.057965,36,0.52,-34.031432,0.48
Bungonia,10685,367,149.869192,49,0.512,-34.829239,0.488
Jennings,12008,160,151.927109,56,0.488,-28.927903,0.512
Eastern Creek,11366,827,150.852192,34,0.495,-33.803114,0.505
Camden Park (NSW),10772,2238,150.721836,34,0.525,-34.088673,0.475
South Bowenfels,13578,1162,150.120913,43,0.524,-33.60463,0.476
Point Frederick,13232,1927,151.341896,46,0.531,-33.449407,0.469
Fairlight,11482,5840,151.273978,38,0.523,-33.794163,0.477
Gravesend,11742,321,150.337609,43,0.486,-29.582339,0.514
Wanaaring,14126,140,144.147343,39,0.522,-29.706274,0.478
Cathcart (NSW),10855,108,149.388335,51,0.531,-36.843699,0.469
East Coraki,11347,205,153.310661,45,0.527,-28.998703,0.473
Neurea,12933,130,148.947815,46,0.481,-32.708193,0.519
Bankstown,10180,32113,150.971005,32,0.507,-33.893687,0.493
Kentlyn,12101,740,150.85743,40,0.495,-34.073171,0.505
Alstonvale,10045,442,153.445477,47,0.518,-28.805607,0.482
Bella Vista,10263,7837,150.95501,38,0.506,-33.737345,0.494
Wollombi,14355,188,151.142665,59,0.537,-32.9376,0.463
Hyams Beach,11967,112,150.681004,66,0.509,-35.101726,0.491
Telegraph Point,13781,609,152.79968,46,0.476,-31.321632,0.524
Mystery Bay,12883,191,150.128542,59,0.476,-36.299297,0.524
Yowrie,14520,117,149.717828,54,0.449,-36.297586,0.551
Bentley (NSW),10298,197,153.090423,51,0.5,-28.756611,0.5
Chippendale,10907,8617,151.201715,26,0.519,-33.886844,0.481
Garah,11586,306,150.626431,41,0.454,-34.763894,0.546
Dalgety,11190,205,148.834562,52,0.433,-36.502267,0.567
Rathmines,13319,1905,151.59415,46,0.506,-33.045785,0.494
Eastgardens,11367,860,151.223301,42,0.506,-33.946043,0.494
Tomakin,13890,1001,150.193026,56,0.481,-35.821767,0.519
Forest Lodge,11546,4583,151.181127,30,0.516,-33.881215,0.484
