suburb,lat,lon
SYDNEY,-33.794883,151.268071
SYDNEY,-33.662834,150.874182
SYDNEY,-33.666729,150.866145
SYDNEY,-33.664575,150.87022
SYDNEY,-33.66279,150.874265
SYDNEY,-34.790684,147.685283
HAYMARKET,-29.816475,151.659454
AUSTRALIA SQUARE,-33.891788,151.176251
GROSVENOR PLACE,-33.741311,151.034025
ROYAL EXCHANGE,-33.86533,151.207905
QUEEN VICTORIA BUILDING,-33.871749,151.206708
SYDNEY SOUTH,-33.815551,151.042528
DARLINGHURST,-33.877331,151.220876
POTTS POINT,-33.82269,151.117575
KINGS CROSS,-35.537721,148.021014
BONDI JUNCTION,-33.893739,151.262502
DOUBLE BAY,-33.87584,151.241938
BROADWAY,-33.884217,151.199825
STRAWBERRY HILLS,-33.726098,150.931838
EVELEIGH,-33.890232,151.199489
ALEXANDRIA,-33.711785,151.108248
WATERLOO,-33.902836,151.057914
ROSEBERY,-34.083089,151.007691
CAMPERDOWN,-30.305815,153.13679
BOTANY,-33.947087,151.197644
MASCOT,-33.926669,151.210791
KENSINGTON,-33.888549,151.140735
UNSW SYDNEY,-33.906561,151.234417
DRUMMOYNE,-33.842999,151.151958
MARRICKVILLE,-33.90911,151.15334
KINGSGROVE,-33.935923,151.100027
MIRANDA,-34.035878,151.107201
HURSTVILLE,-33.975869,151.088939
CARINGBAH,-34.046927,151.123943
SUTHERLAND,-34.015705,151.0622
WEST CHATSWOOD,-33.824607,151.207261
MILSONS POINT,-33.865367,151.193071
ARTARMON,-33.808087,151.192733
CROWS NEST,-33.83459,151.20085
ST LEONARDS,-33.292001,151.468652
LANE COVE,-33.791875,151.187955
HORNSBY,-33.707684,151.099812
FRENCHS FOREST,-33.793137,151.246751
MANLY,-33.329799,151.505125
MONA VALE,-33.698773,151.216799
GLADESVILLE,-33.833033,151.139681
RYDE,-33.761498,151.137807
WEST RYDE,-33.80406,151.09064
ERMINGTON,-33.950299,151.206982
EPPING,-33.78417,151.116696
PENNANT HILLS,-33.758433,151.049106
SEVEN HILLS,-33.760263,150.966912
PARRAMATTA,-33.886166,151.139472
NORTH PARRAMATTA,-33.857053,151.023102
BAULKHAM HILLS,-33.767239,150.968177
CASTLE HILL,-33.735906,151.030535
ST MARYS,-33.859047,151.19554
ASHFIELD,-34.096505,150.778939
BURWOOD,-33.891556,151.10082
SILVERWATER,-33.82328,151.051375
STRATHFIELD,-33.877139,151.093326
GRANVILLE,-33.859289,150.948582
AUBURN,-33.883928,151.023796
GUILDFORD,-33.850193,150.966745
FAIRFIELD,-33.850457,150.961124
LIVERPOOL,-33.888327,151.103632
MOOREBANK,-33.954639,150.92236
BANKSTOWN,-33.907417,151.024581
INGLEBURN,-33.960035,150.802088
MILPERRA,-33.932221,151.000183
DAWES POINT,-33.855601,151.20822
HAYMARKET,-33.880777,151.202796
MILLERS POINT,-33.858315,151.203519
PARLIAMENT HOUSE,-33.867229,151.213051
SYDNEY,-33.867139,151.207114
SYDNEY SOUTH,-33.877718,151.205723
THE ROCKS,-33.859251,151.208782
WORLD SQUARE,-35.974434,146.40506
THE UNIVERSITY OF SYDNEY,-33.887926,151.186923
BROADWAY,-33.884366,151.196502
ULTIMO,-33.878416,151.197272
CHIPPENDALE,-33.886844,151.201715
DARLINGTON,-33.891348,151.191243
PYRMONT,-33.869709,151.19393
DARLINGHURST,-33.879825,151.21956
SURRY HILLS,-33.888821,151.213328
ELIZABETH BAY,-33.872829,151.226593
HMAS KUTTABUL,-33.867206,151.225205
POTTS POINT,-33.869026,151.225603
RUSHCUTTERS BAY,-33.87624,151.228614
WOOLLOOMOOLOO,-33.869283,151.220412
ALEXANDRIA,-33.897571,151.195567
BEACONSFIELD,-33.911613,151.20189
EVELEIGH,-33.897075,151.19113
REDFERN,-33.892778,151.203901
WATERLOO,-33.9004,151.206144
ZETLAND,-33.909938,151.206234
EASTLAKES,-33.925133,151.213199
ROSEBERY,-33.920412,151.203107
BANKSMEADOW,-33.95742,151.206715
BOTANY,-33.94477,151.196528
MASCOT,-33.931189,151.19431
SYDNEY DOMESTIC AIRPORT,-33.931479,151.184989
SYDNEY INTERNATIONAL AIRPORT,-33.932035,151.1687
MOORE PARK,-33.893632,151.219357
PADDINGTON,-33.885032,151.226475
BONDI JUNCTION,-33.892324,151.24733
BONDI JUNCTION PLAZA,-33.891431,151.250862
QUEENS PARK,-33.903188,151.247205
BELLEVUE HILL,-33.887189,151.258935
BRONTE,-33.902328,151.263838
WAVERLEY,-33.897955,151.252059
WOOLLAHRA,-33.885795,151.24413
BONDI,-33.893739,151.262502
BONDI BEACH,-33.890542,151.274856
NORTH BONDI,-33.8857,151.279788
TAMARAMA,-33.897439,151.271839
DARLING POINT,-33.873808,151.236683
EDGECLIFF,-33.878586,151.235106
HMAS RUSHCUTTERS,-33.872495,151.235668
POINT PIPER,-33.870083,151.252329
DOUBLE BAY,-33.87906,151.243095
ROSE BAY,-33.866555,151.280456
DOVER HEIGHTS,-33.874405,151.280416
HMAS WATSON,-33.837706,151.281602
ROSE BAY NORTH,-33.866555,151.280456
VAUCLUSE,-33.859047,151.278434
WATSONS BAY,-33.844806,151.282368
CLOVELLY,-33.912639,151.262021
CLOVELLY WEST,-33.911604,151.254892
RANDWICK,-33.913164,151.241993
ST PAULS,-33.920227,151.242689
DACEYVILLE,-33.928043,151.22513
KINGSFORD,-33.924922,151.227811
KENSINGTON,-33.912997,151.219017
COOGEE,-33.920491,151.254401
SOUTH COOGEE,-33.931293,151.256089
MAROUBRA,-33.946123,151.242818
MAROUBRA SOUTH,-33.948856,151.246592
PAGEWOOD,-33.940108,151.228411
CHIFLEY,-33.976546,151.240248
EASTGARDENS,-33.946043,151.223301
HILLSDALE,-33.952685,151.231341
LA PEROUSE,-33.989634,151.231507
LITTLE BAY,-33.981177,151.243206
MALABAR,-33.965376,151.245969
MATRAVILLE,-33.957549,151.230846
PHILLIP BAY,-33.980556,151.236692
PORT BOTANY,-33.966245,151.225013
FOREST LODGE,-33.881215,151.181127
GLEBE,-33.880815,151.187791
ANNANDALE,-33.881435,151.170681
ROZELLE,-33.863063,151.170573
LEICHHARDT,-33.883793,151.157057
LILYFIELD,-33.872991,151.165788
BALMAIN,-33.856498,151.178009
BALMAIN EAST,-33.857833,151.190598
BIRCHGROVE,-33.853386,151.180609
ENMORE,-33.899362,151.171098
NEWTOWN,-33.896449,151.180013
ERSKINEVILLE,-33.902234,151.186192
ST PETERS,-33.911062,151.180126
SYDENHAM,-33.915222,151.166104
TEMPE,-33.924777,151.160747
HABERFIELD,-33.880496,151.138839
ABBOTSFORD,-33.852469,151.129453
CANADA BAY,-33.863194,151.116398
CHISWICK,-33.851437,151.135954
FIVE DOCK,-33.866368,151.130136
RODD POINT,-33.868208,151.141652
RUSSELL LEA,-33.86072,151.140711
WAREEMBA,-33.856828,151.130728
DRUMMOYNE,-33.851056,151.154542
STANMORE,-33.897351,151.16535
LEWISHAM,-33.894902,151.144413
PETERSHAM,-33.896242,151.154136
PETERSHAM NORTH,-33.889283,151.158575
CAMPERDOWN,-33.88866,151.177188
MISSENDEN ROAD,-33.888668,151.181531
NORTH SYDNEY,-33.802837,151.104935
CHATSWOOD,-33.791988,151.1899
HMAS WATERHEN,-33.840633,151.19497
LAVENDER BAY,-33.84307,151.208015
MCMAHONS POINT,-33.84464,151.20425
NORTH SYDNEY,-33.838265,151.206481
NORTH SYDNEY SHOPPINGWORLD,-33.837788,151.208276
WAVERTON,-33.839969,151.195808
KIRRIBILLI,-33.846275,151.212705
MILSONS POINT,-33.847526,151.211568
CAMMERAY,-33.821953,151.21043
NORTHBRIDGE,-33.815028,151.222266
ARTARMON,-33.807664,151.189662
CROWS NEST,-33.82609,151.199192
GREENWICH,-33.831958,151.186129
NAREMBURN,-33.817299,151.20116
ROYAL NORTH SHORE HOSPITAL,-33.821588,151.191396
ST LEONARDS,-33.823248,151.195504
WOLLSTONECRAFT,-33.828158,151.196621
LANE COVE,-33.814599,151.168722
LANE COVE NORTH,-33.807556,151.170912
LANE COVE WEST,-33.806246,151.153281
LINLEY POINT,-33.826777,151.148251
LONGUEVILLE,-33.833096,151.165342
NORTHWOOD,-33.829732,151.177751
RIVERVIEW,-33.825587,151.159934
CHATSWOOD,-33.795617,151.185329
CHATSWOOD WEST,-33.796332,151.167142
CASTLECRAG,-33.802403,151.212643
MIDDLE COVE,-33.794087,151.207975
NORTH WILLOUGHBY,-33.793089,151.195787
WILLOUGHBY,-33.801483,151.1986
WILLOUGHBY EAST,-33.802534,151.203505
WILLOUGHBY NORTH,-33.793089,151.195787
