city,code,people
Deauville,11225,25
New Buildings,12940,37
Neilrex,12919,72
Rob Roy,13373,64
Devils Hole,11246,17
Taminda,13745,53
State Mine Gully,13655,21
Wattle Springs,14195,73
Urangeline East,14054,16
Dairy Arm,11186,24
Mooneba,12701,81
Hill End (NSW),11903,102
Broughton (NSW),10605,87
Sunny Corner,13692,92
Copeton,11059,46
Jones Bridge,12039,22
Cangai,10789,36
Galambine,11579,66
Argalong,10077,29
Bretti,10562,28
Cootralantra,11054,89
Yarrabandai,14469,37
Charlton (NSW),10888,26
Kia Ora (NSW),12113,25
Wallanthery,14108,33
Mulgrave (NSW),12815,92
Mimosa (NSW),12632,84
The Gap (Wagga Wagga - NSW),13822,62
Bowan Park,10527,117
Mount David,12754,44
Wrathall,14427,17
Brungle,10618,112
Benolong,10296,49
Tuena,13949,59
Charleys Forest,10886,65
Twelve Mile,13987,27
Lilydale (NSW),12324,29
Mount Kingiman,12770,8
Murrulebale,12859,43
Girralong,11635,48
Cairncross,10747,3
Whiporie,14273,73
Barwang,10220,80
Marengo (NSW),12489,7
Yarara,14467,21
Anglers Reach,10058,94
Eurongilly,11466,120
Mangoola,12469,48
Bimbi,10360,114
Billys Creek,10356,61
Glenworth Valley,11683,10
Frying Pan,11573,4
Tarban,13761,8
Wanganella,14133,86
Eulah Creek,11455,76
Rhine Falls,13357,42
Daysdale,11223,95
Reedy Swamp,13343,81
Jemalong,12006,78
Kayuga,12078,57
Wymah,14442,37
Knights Hill,12177,43
Kirkconnell,12170,281
Yannergee,14464,24
Upper Karuah River,14032,6
Brawboy,10551,19
Hayters Hill,11879,27
Belfrayden,10259,30
Watton,14196,81
Combaning,10989,103
Tongarra,13900,107
Weemelah,14213,72
Rangers Valley,13314,24
Rose Valley (Kiama - NSW),13399,76
Howards Grass,11946,76
Fernances Crossing,11504,37
Mount Olive (Oberon - NSW),12780,13
Boomanoomana,10486,99
Boydtown,10542,70
Brookdale (NSW),10595,26
Bagnoo,10136,44
Edith (NSW),11382,94
Old Adaminaby,13072,31
Cornwallis,11078,53
Mihi,12610,38
Carcalgong,10807,45
Pelton,13179,86
Reddestone,13338,53
Limestone (NSW),12332,9
Trenayr,13935,81
Biddon,10338,98
Paupong,13161,13
Bevendale,10329,41
Gulf Creek,11793,48
Cathundral,10858,45
Arndell Park,10087,27
Yaven Creek,14498,58
Lower Bottle Creek,12403,20
Pomeroy,13239,115
Rowan,13430,86
Pitnacree,13225,43
Irymple (NSW),11988,7
Moore Park,12711,28
Wheeo,14270,77
Little Jilliby,12354,120
Cunjurong Point,11163,74
Yullundry,14521,23
Seal Rocks,13512,44
Sandon (NSW),13477,11
Wee Jasper,14210,100
Wambrook,14125,44
Howell,11947,35
Kingsgate,12157,5
Woodhouselee,14386,15
Tyalgum Creek,13995,107
Ballalaba,10158,22
Corobimilla,11079,71
Corrabare,11081,10
Monak,12673,49
Maxwell,12527,90
The Marra,13829,58
Lower Peacock,12411,6
Woodstock (Inverell - NSW),14395,32
Warraderry,14156,94
Tomki,13897,76
Toorooka,13913,47
